Outfit ID,Name,Category,Style,Color,Occasion,Gender,Budget,Season,Image URL,Components,Style Explanation
25,Lightweight Brown Shorts and Tee,Casual Wear,Casual,Brown,Casual Hangout,Women,34.45,Summer,/assets/outfits/casual_brown_25.jpg,"White T-Shirt, Brown Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
26,Elegant Black Kurta Pyjama,Traditional Wear,Traditional,Black,Wedding,Unisex,78.68,Winter,/assets/outfits/traditional_black_26.jpg,"Black Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
27,Elegant White Kurta Pyjama,Traditional Wear,Traditional,White,Wedding,Unisex,35.9,Winter,/assets/outfits/traditional_white_27.jpg,"White Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
28,Royal White Sherwani Ensemble,Traditional Wear,Traditional,White,Wedding,Unisex,399.53,Rainy,/assets/outfits/traditional_white_28.jpg,"White Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
29,Vibrant Yellow Velvet Blazer,Party Wear,Party,Yellow,Party,Women,83.31,Winter,/assets/outfits/party_yellow_29.jpg,"Yellow Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
30,Tailored Blue Suit Ensemble,Business Formal,Formal,Blue,Interview,Men,355.95,Rainy,/assets/outfits/formal_blue_30.jpg,"Blue Blazer, Matching Blue Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
31,Yellow T-Shirt and Denim Jeans,Casual Wear,Casual,Yellow,Casual Hangout,Unisex,24.04,Summer,/assets/outfits/casual_yellow_31.jpg,"Yellow T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
32,Lightweight Black Shorts and Tee,Casual Wear,Casual,Black,Sport,Unisex,60.14,Summer,/assets/outfits/casual_black_32.jpg,"White T-Shirt, Black Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
33,White Dress Shirt with Trousers,Business Casual,Formal,White,Business Meeting,Unisex,96.73,Rainy,/assets/outfits/formal_white_33.jpg,"White Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
34,Glamorous White Party Dress,Party Wear,Party,White,Party,Men,108.97,Summer,/assets/outfits/party_white_34.jpg,"White Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
35,Glamorous Brown Party Dress,Party Wear,Party,Brown,Party,Unisex,76.67,Summer,/assets/outfits/party_brown_35.jpg,"Brown Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
36,Streetwear Brown Windbreaker Outfit,Streetwear,Streetwear,Brown,Casual Hangout,Men,31.41,Summer,/assets/outfits/streetwear_brown_36.jpg,"Brown Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
37,Sleek Green Nightout Outfit,Party Wear,Party,Green,Party,Men,34.99,Winter,/assets/outfits/party_green_37.jpg,"Green Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
38,Denim Jacket with Brown Shirt,Casual Wear,Casual,Brown,Casual Hangout,Unisex,141.74,Summer,/assets/outfits/casual_brown_38.jpg,"Blue Denim Jacket, Brown Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
39,Elegant Black Kurta Pyjama,Traditional Wear,Traditional,Black,Party,Men,49.14,Summer,/assets/outfits/traditional_black_39.jpg,"Black Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
40,Chic Black Blazer and Chinos,Business Casual,Formal,Black,Interview,Men,178.38,Summer,/assets/outfits/formal_black_40.jpg,"Black Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
41,Blue Polo and Khaki Pants,Smart Casual,Smart Casual,Blue,Party,Women,79.73,Rainy,/assets/outfits/smart casual_blue_41.jpg,"Blue Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
42,Designer Yellow Anarkali Suit,Traditional Wear,Traditional,Yellow,Wedding,Women,253.85,Summer,/assets/outfits/traditional_yellow_42.jpg,"Yellow Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
43,Yellow T-Shirt and Denim Jeans,Casual Wear,Casual,Yellow,Casual Hangout,Women,55.05,Summer,/assets/outfits/casual_yellow_43.jpg,"Yellow T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
44,Tailored Red Suit Ensemble,Business Formal,Formal,Red,Interview,Men,291.32,Rainy,/assets/outfits/formal_red_44.jpg,"Red Blazer, Matching Red Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
45,Elegant Red Kurta Pyjama,Traditional Wear,Traditional,Red,Wedding,Unisex,45.15,Summer,/assets/outfits/traditional_red_45.jpg,"Red Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
46,Designer Red Anarkali Suit,Traditional Wear,Traditional,Red,Wedding,Women,384.4,Winter,/assets/outfits/traditional_red_46.jpg,"Red Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
47,Casual Blazer and White Tee,Smart Casual,Smart Casual,Blue,Party,Women,141.01,Summer,/assets/outfits/smart casual_blue_47.jpg,"Blue Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
48,Glamorous Brown Party Dress,Party Wear,Party,Brown,Party,Men,138.33,Summer,/assets/outfits/party_brown_48.jpg,"Brown Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
49,Elegant Black Kurta Pyjama,Traditional Wear,Traditional,Black,Party,Unisex,27.95,Summer,/assets/outfits/traditional_black_49.jpg,"Black Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
50,Casual Blazer and White Tee,Smart Casual,Smart Casual,White,Casual Hangout,Women,118.2,Winter,/assets/outfits/smart casual_white_50.jpg,"White Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
51,Designer Blue Anarkali Suit,Traditional Wear,Traditional,Blue,Wedding,Unisex,383.75,Rainy,/assets/outfits/traditional_blue_51.jpg,"Blue Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
52,Royal Yellow Sherwani Ensemble,Traditional Wear,Traditional,Yellow,Party,Men,190.4,Summer,/assets/outfits/traditional_yellow_52.jpg,"Yellow Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
53,Comfy Blue Hoodie and Joggers,Casual Wear,Casual,Blue,Casual Hangout,Women,63.06,Winter,/assets/outfits/casual_blue_53.jpg,"Blue Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
54,Yellow Dress Shirt with Trousers,Business Casual,Formal,Yellow,Business Meeting,Women,97.62,Rainy,/assets/outfits/formal_yellow_54.jpg,"Yellow Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
55,Yellow T-Shirt and Denim Jeans,Casual Wear,Casual,Yellow,Casual Hangout,Women,20.21,Rainy,/assets/outfits/casual_yellow_55.jpg,"Yellow T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
56,Blue Dress Shirt with Trousers,Business Casual,Formal,Blue,Business Meeting,Men,130.68,Rainy,/assets/outfits/formal_blue_56.jpg,"Blue Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
57,Vibrant Black Velvet Blazer,Party Wear,Party,Black,Party,Men,130.01,Summer,/assets/outfits/party_black_57.jpg,"Black Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
58,Casual Blazer and White Tee,Smart Casual,Smart Casual,Green,Business Meeting,Men,110.11,Summer,/assets/outfits/smart casual_green_58.jpg,"Green Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
59,Lightweight White Shorts and Tee,Casual Wear,Casual,White,Casual Hangout,Unisex,41.22,Summer,/assets/outfits/casual_white_59.jpg,"White T-Shirt, White Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
60,Royal Red Sherwani Ensemble,Traditional Wear,Traditional,Red,Wedding,Unisex,452.61,Summer,/assets/outfits/traditional_red_60.jpg,"Red Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
61,Chic Black Blazer and Chinos,Business Casual,Formal,Black,Business Meeting,Men,156.06,Rainy,/assets/outfits/formal_black_61.jpg,"Black Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
62,Vibrant Brown Velvet Blazer,Party Wear,Party,Brown,Party,Unisex,87.51,Summer,/assets/outfits/party_brown_62.jpg,"Brown Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
63,Oversized Green Tee and Cargoes,Streetwear,Streetwear,Green,Casual Hangout,Men,31.97,Winter,/assets/outfits/streetwear_green_63.jpg,"Oversized Green Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
64,Glamorous Blue Party Dress,Party Wear,Party,Blue,Party,Men,142.6,Summer,/assets/outfits/party_blue_64.jpg,"Blue Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
65,Glamorous Blue Party Dress,Party Wear,Party,Blue,Party,Men,140.56,Winter,/assets/outfits/party_blue_65.jpg,"Blue Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
66,Vibrant Brown Velvet Blazer,Party Wear,Party,Brown,Party,Unisex,82.69,Winter,/assets/outfits/party_brown_66.jpg,"Brown Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
67,Casual Blazer and White Tee,Smart Casual,Smart Casual,Red,Casual Hangout,Women,135.62,Summer,/assets/outfits/smart casual_red_67.jpg,"Red Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
68,Green Polo and Khaki Pants,Smart Casual,Smart Casual,Green,Casual Hangout,Unisex,43.11,Rainy,/assets/outfits/smart casual_green_68.jpg,"Green Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
69,Elegant Blue Kurta Pyjama,Traditional Wear,Traditional,Blue,Party,Men,20.1,Rainy,/assets/outfits/traditional_blue_69.jpg,"Blue Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
70,Designer Yellow Anarkali Suit,Traditional Wear,Traditional,Yellow,Wedding,Unisex,277.48,Rainy,/assets/outfits/traditional_yellow_70.jpg,"Yellow Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
71,Lightweight Red Shorts and Tee,Casual Wear,Casual,Red,Casual Hangout,Women,63.19,Winter,/assets/outfits/casual_red_71.jpg,"White T-Shirt, Red Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
72,Yellow Polo and Khaki Pants,Smart Casual,Smart Casual,Yellow,Business Meeting,Women,61.83,Winter,/assets/outfits/smart casual_yellow_72.jpg,"Yellow Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
73,Elegant White Kurta Pyjama,Traditional Wear,Traditional,White,Party,Women,60.64,Rainy,/assets/outfits/traditional_white_73.jpg,"White Embroidered Kurta, White Pajama Pants, Traditional Mojari Shoes, Nehru Jacket",Classic festive wear showcasing rich craftsmanship and cultural heritage.
74,Red Dress Shirt with Trousers,Business Casual,Formal,Red,Interview,Women,103.43,Summer,/assets/outfits/formal_red_74.jpg,"Red Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
75,Chic Brown Blazer and Chinos,Business Casual,Formal,Brown,Business Meeting,Unisex,121.15,Rainy,/assets/outfits/formal_brown_75.jpg,"Brown Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
76,Vibrant White Velvet Blazer,Party Wear,Party,White,Party,Unisex,142.47,Winter,/assets/outfits/party_white_76.jpg,"White Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
77,Black Polo and Khaki Pants,Smart Casual,Smart Casual,Black,Business Meeting,Men,33.48,Rainy,/assets/outfits/smart casual_black_77.jpg,"Black Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
78,Tailored Black Suit Ensemble,Business Formal,Formal,Black,Business Meeting,Men,363.95,Winter,/assets/outfits/formal_black_78.jpg,"Black Blazer, Matching Black Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
79,Denim Jacket with Green Shirt,Casual Wear,Casual,Green,Casual Hangout,Unisex,149.02,Winter,/assets/outfits/casual_green_79.jpg,"Blue Denim Jacket, Green Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
80,Glamorous Green Party Dress,Party Wear,Party,Green,Party,Men,168.19,Summer,/assets/outfits/party_green_80.jpg,"Green Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
81,Denim Jacket with White Shirt,Casual Wear,Casual,White,Sport,Men,75.52,Winter,/assets/outfits/casual_white_81.jpg,"Blue Denim Jacket, White Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
82,Tailored Green Suit Ensemble,Business Formal,Formal,Green,Business Meeting,Men,482.51,Summer,/assets/outfits/formal_green_82.jpg,"Green Blazer, Matching Green Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
83,Vibrant Brown Velvet Blazer,Party Wear,Party,Brown,Party,Unisex,161.36,Rainy,/assets/outfits/party_brown_83.jpg,"Brown Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
84,Royal White Sherwani Ensemble,Traditional Wear,Traditional,White,Party,Unisex,240.72,Winter,/assets/outfits/traditional_white_84.jpg,"White Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
85,Blue Dress Shirt with Trousers,Business Casual,Formal,Blue,Interview,Unisex,100.21,Summer,/assets/outfits/formal_blue_85.jpg,"Blue Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
86,Lightweight White Shorts and Tee,Casual Wear,Casual,White,Sport,Women,73.58,Rainy,/assets/outfits/casual_white_86.jpg,"White T-Shirt, White Cotton Shorts, Sandals",Perfect breathable outfit for hot summer days.
87,Comfy White Hoodie and Joggers,Casual Wear,Casual,White,Casual Hangout,Men,62.39,Rainy,/assets/outfits/casual_white_87.jpg,"White Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
88,Denim Jacket with Green Shirt,Casual Wear,Casual,Green,Sport,Women,115.74,Winter,/assets/outfits/casual_green_88.jpg,"Blue Denim Jacket, Green Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
89,Chic Green Blazer and Chinos,Business Casual,Formal,Green,Interview,Unisex,164.24,Rainy,/assets/outfits/formal_green_89.jpg,"Green Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
90,Royal Green Sherwani Ensemble,Traditional Wear,Traditional,Green,Party,Men,413.72,Winter,/assets/outfits/traditional_green_90.jpg,"Green Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
91,Vibrant Yellow Velvet Blazer,Party Wear,Party,Yellow,Party,Unisex,123.71,Rainy,/assets/outfits/party_yellow_91.jpg,"Yellow Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
92,Green Polo and Khaki Pants,Smart Casual,Smart Casual,Green,Business Meeting,Men,60.13,Winter,/assets/outfits/smart casual_green_92.jpg,"Green Polo Shirt, Khaki Pants, Leather Watch, Minimalist White Shoes",Preppy yet functional styling ideal for weekend social events.
93,Vibrant White Velvet Blazer,Party Wear,Party,White,Party,Women,169.76,Summer,/assets/outfits/party_white_93.jpg,"White Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
94,Chic White Blazer and Chinos,Business Casual,Formal,White,Business Meeting,Men,106.01,Summer,/assets/outfits/formal_white_94.jpg,"White Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
95,Glamorous Blue Party Dress,Party Wear,Party,Blue,Party,Women,97.75,Winter,/assets/outfits/party_blue_95.jpg,"Blue Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
96,Denim Jacket with Black Shirt,Casual Wear,Casual,Black,Casual Hangout,Unisex,179.99,Winter,/assets/outfits/casual_black_96.jpg,"Blue Denim Jacket, Black Cotton T-Shirt, Black Jeans, Sneakers",Layered denim style that provides casual warmth.
97,Casual Blazer and White Tee,Smart Casual,Smart Casual,Yellow,Casual Hangout,Men,152.97,Rainy,/assets/outfits/smart casual_yellow_97.jpg,"Yellow Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
98,Tailored Brown Suit Ensemble,Business Formal,Formal,Brown,Interview,Men,233.49,Rainy,/assets/outfits/formal_brown_98.jpg,"Brown Blazer, Matching Brown Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
99,Vibrant Black Velvet Blazer,Party Wear,Party,Black,Party,Unisex,146.94,Summer,/assets/outfits/party_black_99.jpg,"Black Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
100,Casual Blazer and White Tee,Smart Casual,Smart Casual,Red,Party,Unisex,82.6,Rainy,/assets/outfits/smart casual_red_100.jpg,"Red Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
101,Chic Black Blazer and Chinos,Business Casual,Formal,Black,Business Meeting,Unisex,133.34,Winter,/assets/outfits/formal_black_101.jpg,"Black Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
102,Glamorous Yellow Party Dress,Party Wear,Party,Yellow,Party,Men,81.21,Summer,/assets/outfits/party_yellow_102.jpg,"Yellow Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
103,Casual Blazer and White Tee,Smart Casual,Smart Casual,Brown,Business Meeting,Unisex,128.6,Summer,/assets/outfits/smart casual_brown_103.jpg,"Brown Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
104,Streetwear Black Windbreaker Outfit,Streetwear,Streetwear,Black,Party,Unisex,20.76,Rainy,/assets/outfits/streetwear_black_104.jpg,"Black Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
105,Glamorous Black Party Dress,Party Wear,Party,Black,Party,Women,147.8,Winter,/assets/outfits/party_black_105.jpg,"Black Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
106,Sleek Yellow Nightout Outfit,Party Wear,Party,Yellow,Party,Unisex,56.95,Rainy,/assets/outfits/party_yellow_106.jpg,"Yellow Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
